the_geom,cartodb_id,the_geom_webmercator,park,link,lat,lng,project,fiscalyear,hex
0101000020E6100000838593347F5853C034BDC458A64B4340,66,0101000020110F00003A1A4F3C286E60C1915AB900F6C95141,Prince William Forest Park,https://www.nps.gov/prwi/index.htm,38.591014,-77.382764,Post-WNS Bat Assemblage at Prince William Forest Park: Dormant Season,2018,#fa946e
0101000020E6100000990F0874264353C06A8995D1C8774340,67,0101000020110F000094001705075C60C1DDA4937B08FA5141,Rock Creek Park,https://www.nps.gov/rocr/index.htm,38.935816,-77.049222,"Answering -- Hibernate or Migrate? Detecting WNS Presence in NCR Parks (ROCR, CHOH, GWMP, MANA, HAFE)",2018,#fa946e
0101000020E61000009A931799801151C0562C7E53582B4640,68,0101000020110F00001D4410170AFE5CC1B2A22E36AB0C5541,Acadia National Park,https://www.nps.gov/acad/index.htm,44.338633,-68.273474,"Conserving WNS Affected Bat Populations in Acadia National Park Depends on Continued Surveillance, Mitigation, and Information Sharing",2018,#fa946e
0101000020E6100000B2F336363B2053C04359F8FA5A9D4240,69,0101000020110F0000B5A156EB5E3E60C13AC51585540E5141,Colonial National Historical Park,https://www.nps.gov/colo/index.htm,37.229339,-76.503614,Post-WNS Bat Assemblage at Colonial National Historical Park: Dormant Season Emphasis,2018,#fa946e
0101000020E6100000F0332E1C08A252C0C72FBC92E4614440,70,0101000020110F00004775AFF960A65FC1695CE8660BFD5241,Morristown National Historical Park,https://www.nps.gov/morr/index.htm,40.764788,-74.531745,Monitoring and Management of WNS-Affected Bats in Morristown National Historical Park,2018,#fa946e
0101000020E6100000ED0C535BEA4254C02810768A55EF4240,71,0101000020110F000054C2ACB93F3561C1847A833B26665141,New River Gorge National River,https://www.nps.gov/neri/index.htm,37.869798,-81.045554,Proposal to Gate Three Abandoned Mine Portals in New River Gorge National River,2018,#fa946e
0101000020E6100000FA415DA450CA52C08978EBFCDBF94340,72,0101000020110F0000DBEC3ED9CDEA5FC182A0A35117895241,Northeast Regional Office,https://www.nps.gov/orgs/1651/index.htm,39.952026,-75.161172,Develop Park Specific Bat Resource Briefs and Website Articles for 19 Northeast Parks,2018,#fa946e
0101000020E6100000772B4B74965853C0F98381E7DE994240,73,0101000020110F00000CBC1AFB3B6E60C1D6BC2B259D0A5141,Petersburg National Battlefield,https://www.nps.gov/pete/index.htm,37.202115,-77.384183,Expanded Dormant Season Bat Surveys at Petersburg National Battlefield,2018,#fa946e
0101000020E6100000EA58A5F44C5753C0164F3DD2E0B64240,74,0101000020110F0000D4363923246D60C14A7A642F97295141,Richmond National Battlefield Park,https://www.nps.gov/rich/index.htm,37.428736,-77.364072,Expanded Dormant Season Bat Surveys at Richmond National Battlefield Park,2018,#fa946e
0101000020E6100000E4D87A8670AB53C0D0807A336A264340,75,0101000020110F000061AA6CB399B460C1C1D9935495A15141,Shenandoah National Park,https://www.nps.gov/shen/index.htm,38.300116,-78.678743,Northern Long-eared Bat Materinity Colony Status at Shenandoah National Park,2018,#fa946e
0101000020E6100000ECA694D74AC352C040321D3A3DCF4440,76,0101000020110F00006580C11AE0DE5FC1F6E0D36575785341,Upper Delaware Scenic & Recreational River,https://www.nps.gov/upde/index.htm,41.619056,-75.051443,Post-WNS Inventory of the Upper Delaware Scenic & Recreational River Bat Community and Implement Protection for Significant Colonies,2018,#fa946e
0101000020E61000001215AA9B8BAC5EC0486C770FD0174540,77,0101000020110F00009C0590522B0D6AC1D030F6EF45CB5341,Klamath Network,https://www.nps.gov/im/klmn/index.htm,42.186037,-122.696021,"WNS Surveillance, Acoustic Monitoring, and Bat Habitat Management in Klamath Network Parks",2018,#fa946e
0101000020E61000009561DC0DA2605EC0CEFE40B96DDB4440,78,0101000020110F0000D3AE2866B2CC69C18606811F51865341,Lava Beds National Monument,https://www.nps.gov/labe/index.htm,41.714286,-121.509891,Bats on a Volcanic Landscape: Continuing Critical Reserach and Education - FY 2018,2018,#fa946e
0101000020E610000000000000000000004AD40B3ECD174140,79,0101000020110F00000000000000000000BBACC70E93ED4E41,Mediterranean Coast Network,https://www.nps.gov/im/medn/index.htm,34.185951,,Baseline Bat Monitoring and Launch of Mega Bat Conservation Campaign in Greater Los Angeles/San Diego Area,2018,#fa946e
0101000020E610000044334FAE29B65CC01553E9279CFD4140,80,0101000020110F0000FD5EF6DE7E6268C19664031C51655041,Mojave Desert Network,https://www.nps.gov/im/mojn/index.htm,35.981328,-114.846294,Implementing a Bat Monitoring Plan for the Mojave Desert Network of Parks,2018,#fa946e
0101000020E6100000FE9B1727BE875EC0001B1021AE604740,81,0101000020110F0000256B71ADE9ED69C135002D89E4835641,North Coast & Cascades Network,https://www.nps.gov/im/nccn/index.htm,46.755314,-122.120981,North Coast Cascades Network (NCCN) Bat Population Monitoring and WNS Surveillance,2018,#fa946e
0101000020E61000007D96E7C1DDD95EC0D865F84F370C4540,82,0101000020110F000005581808A9336AC17CAB3A95FDBD5341,Oregon Caves National Monument and Preserve,https://www.nps.gov/orca/index.htm,42.095438,-123.40416,"Continue Biometric Monitoring and Life Cycle Data Collection for WNS Susceptibility Modeling, and WNS Screening and Education at Oregon Caves National Monument and Preserve",2018,#fa946e
0101000020E610000000000048B1369DC1A94E07B29EEA4240,83,,San Francisco Bay Area Network,https://www.nps.gov/im/sfan/index.htm,37.832968,-122530898,Continue WNS Surveillance in the San Francisco Bay Area and Contribute to Regional Understanding of Risk Variables,2018,#fa946e
0101000020E610000033A8363811405DC081CEA44DD55D4740,84,0101000020110F00006F586D2D9ED768C152AA893C5D805641,Upper Columbia Basin Network,https://www.nps.gov/im/ucbn/index.htm,46.733072,-117.001051,North American Bat Monitoring Program (NABat) NPS-PWR Regional Coordination,2018,#fa946e
