ALPHA,Park Name,State,Region,Welcome Letter,CFP Park,Date Cert.,Acreage,Visitation,,
GRSA,Great Sand Dunes National Park and Preserve,CO,IMR,,0,," 	1,175 "," 	160,147 ",,
MONO,Monocacy National Battlefield,MD,NCR,,1,3-Nov-13," 	3,647 "," 	210,242 ",,
NACE,National Capital Parks-East,DC,NCR,10/19/11,1,2011, 	2 ," 	2,359,689 ",,
GUMO,Guadalupe Mountains National Park,TX,IMR,,0,, 	107 ," 	2,565,354 ",,
GUCO,Guildford Courts National Military Park,NC,SER,,0,," 	5,073 "," 	616,148 ",,
GUIS,Gulf Islands National Seashore,FL,SER,,0,, 	0 ," 	14,354 ",,
HAFO,Hagerman Fossil Beds,ID,PWR,,,," 	1,647 "," 	14,750 ",,
NAMA,National Mall,DC,NCR,10/19/11,1,2011," 	6,697 "," 	4,651,085 ",,
HAGR,Hamilton Grange National Memorial,NY,NER,,0,, 	146 , 	-00 ,,
HAMP,Hampton National Historic Site,MD,NER,,0,, 	-00 ," 	2,859,934 ",,
NAWO,National World War II Memorial,DC,NCR,,1,2011, 	0 ," 	161,102 ",,
HSTR,Harry S Truman National Historic Site,MO,MWR,,0,," 	4,626 "," 	170,159 ",,
PAAV,Pennsylvania Avenue National Historic Site,DC,NCR,,1,2011, 	-00 , 	-00 ,,
HEHO,Herbert Hoover National Historic Site,IA,MWR,,0,," 	16,046 "," 	144,821 ",,
PIMA,Hohokam Pima National Monument,AZ,IMR,,0,," 	1,755 "," 	1,682,096 ",,
ROVA,Home of Frederick Delano Roosevelt National Historic Site,NY,NER,,0,, 	89 ," 	76,408 ",,
HOME,Homestead National Monument of America,NE,MWR,,0,, 	18 ," 	1,702,758 ",,
HOCU,Hopewell Culture National Historic Park,OH,MWR,,0,, 	2 ," 	2,573,323 ",,
HOFU,Hopewell Furnace National Historic Park,PA,NER,,0,, 	106 ," 	444,981 ",,
HOBE,Horseshoe Bend National Military Park,AL,SER,,0,, 	18 ," 	666,786 ",,
HOSP,Hot Springs National Park,AR,MWR,,0,, 	130 ," 	482,957 ",,
HOVE,Hovenweep National Monument,CO,IMR,,0,," 	47,400 "," 	1,786,482 ",,
HUTR,Hubbel Trading Post National Historic Site,AZ,IMR,,0,, 	24 ," 	184,770 ",,
INDE,Independence National Historic Park,PA,NER,,0,, 	0 , 	-00 ,,
PISC,Piscataway Park,MD,NCR,,1,2011," 	1,284 "," 	94,473 ",,
ISRO,Isle Royale National Park,MI,MWR,,0,," 	1,774 "," 	120,012 ",,
JAGA,James A Garfield National Historic Site,OH,MWR,,0,," 	39,727 "," 	1,686,135 ",,
JODR,JD Rockefeller Memorial Parkway,WY,IMR,,0,," 	4,310 "," 	40,951 ",,
JELA,Jean Lafitte National Historic Park and Preserve,LA,SER,,0,, 	239 ," 	14,227 ",,
JEFF,Jefferson National Expansion Memorial,MO,MWR,,0,, 	1 ," 	247,152 ",,
POHE,Potomac Heritage National Scenic Trail,VA,NCR,,1,2011," 	1,482 ", 	-00 ,,
JICA,Jimmy Carter National Historic Site,GA,SER,,0,, 	44 ," 	1,568,795 ",,
PRWI,Prince William Forest Park,VA,NCR,1,1,18-May-12," 	43,609 "," 	3,739,462 ",,
JOFI,John Fitzgerald Kennedy National Historic Site,MA,NER,,0,, 	1 ," 	2,660,784 ",,
ROCR,Rock Creek Park,DC,NCR,,1,2012," 	3,712 ", 	-00 ,,
JOFL,Johnstown Flood National Memorial,PA,NER,,0,," 	8,677 "," 	2,665,906 ",,
